,,ro,,defn
item,word,Georgia,defn,"It ""is not just the former Soviet republic that everyone knows about--it is also in fact a small U.S. state"
item,word,The Fall of the House of Usher,defn,"Edgar Allan Poe\'s poem ""The Haunted Palace"" appears as part of this 1839 tale"
item,word,HIV or AIDS,defn,My foundation & pharmaceutical companies negotiated price reductions in antiretroviral drugs as part of an initiative to combat this pandemic
item,word,Woody Allen,defn,"He not only co-wrote, directed & starred in 1973\'s ""Sleeper"", he also composed the score"
item,word,pearls,defn,"Profound utterances are called these marine gems ""of wisdom"
item,word,radium,defn,Ra:&lt;br /&gt;One letter off from an arm bone
item,word,Harriet Beecher Stowe,defn,"You know her 1852 antislavery novel, but maybe not her 1870 ""The Ghost in the Mill"
item,word,KLM,defn,"On May 9, 1921 this ""letter-perfect"" airline opened its first passenger office in Amsterdam"
item,word,the Empire State Building,defn,"My climate initiative brings together partners to make energy-saving retrofits to existing buildings, including this iconic skyscraper at 34th & 5th Avenue"
item,word,This is Spinal Tap,defn,"""This is"" the 1984 mock rocumentary that was Rob Reiner\'s feature film directing debut"
item,word,gibberish,defn,Lettish & Turkish are languages; this -ish is a synonym for nonsense
item,word,radon,defn,Rn:&lt;br /&gt;Ms. Chong might be able to help you with this one
item,word,Dickens,defn,"Marley & Co. weren\'t his only spirits; he also wrote about ghosts in ""The Haunted House"
item,word,Pegasus,defn,In 1995 scientists found the first planet known to orbit a star similar to our sun in this winged horse constellation
item,word,diabetes,defn,"Working with the American Heart Association, my foundation created an alliance to combat childhood obesity, which can lead to health problems like Type 2 this"
item,word,John Cassavetes,defn,"He directed wife Gena Rowlands to 2 Oscar nominations: for ""A Woman Under the Influence"" & ""Gloria"
item,word,truth,defn,"""Speak"" this ""to power"", meaning tell the mighty what they don\'t want to hear, was coined in a 1955 Quaker pamphlet"
item,word,rhodium,defn,Rh: &lt;br /&gt;Colossal
item,word,Arthur Conan Doyle,defn,"In addition to ""A Study in Scarlet"" & ""The White Company"", his stories include the spooky ""The Brown Hand"
item,word,vertical,defn,"The Harrier is a V/STOL aircraft, the V standing for this, meaning the plane goes almost straight up on takeoff"
item,word,philanthropy,defn,"The Clinton Global Initiative annual meeting convenes leaders from all sectors to devise and implement innovative solutions...one event at this meeting is the Clinton Global Citizen Awards, for leadership in various fields, including this one of charitable giving"
item,word,(David) Lynch,defn,"After seeing ""Eraserhead"", executive producer Mel Brooks tapped this man to direct ""The Elephant Man"
item,word,blasphemy,defn,"It\'s specifically defined as ""claiming for oneself the attributes... of God"
item,word,hafnium,defn,"Hf:&lt;br /&gt;50%, OK"
item,word,Ambrose Bierce,defn,"Before he disappeared in 1914, this ""Dictionary"" writer penned such ghost stories as ""The Haunted Valley"
item,word,Igor Sikorsky,defn,"In 1939 this Russian took the 1st flight of a practical, single-rotor helicopter, & why not?  He built the thing"
item,word,Renny Harlin,defn,"This Finnish-born director hit it big with ""Die Hard 2"" & ""Cliffhanger""; then came ""Cutthroat Island"
item,word,repartée,defn,"This word for fast, witty exchanges is from the French for ""depart again"
item,word,palladium,defn,Pd:&lt;br /&gt;A great place for live music
item,word,Saki,defn,"There\'s a ghost story within a story in ""The Open Window"" by H.H. Munro, better known by this single pen name"
item,word,Hair,defn,A Hollywood venue was renovated & renamed the Aquarius Theater to host this musical in 1968
endlist,endlist,endlist,endlist,endlist
